epoch,batch_idx,loss
0,10,1.0373750925064087
0,20,0.28193292021751404
0,30,0.26124870777130127
0,40,0.15768633782863617
0,50,0.1711472123861313
0,60,0.13184811174869537
0,70,0.08860576897859573
0,80,0.05314847454428673
0,90,0.025185471400618553
0,100,0.05246536433696747
0,110,0.0768396407365799
0,120,0.06333979964256287
0,130,0.05238319933414459
0,140,0.050742220133543015
0,150,0.029050616547465324
0,160,0.05334620550274849
0,170,0.04757333919405937
0,180,0.028562163934111595
0,190,0.027457745745778084
0,200,0.03176351264119148
0,210,0.0272606760263443
0,220,0.04287738725543022
0,230,0.033004652708768845
0,240,0.0605473667383194
0,250,0.039061449468135834
0,260,0.07835158705711365
0,270,0.015804531052708626
0,280,0.0928729698061943
0,290,0.0375310480594635
1,10,0.01671052724123001
1,20,0.04793738201260567
1,30,0.0489584319293499
1,40,0.01961073838174343
1,50,0.010937797836959362
1,60,0.019890809431672096
1,70,0.019698601216077805
1,80,0.015090635977685452
1,90,0.012096456252038479
1,100,0.04010731354355812
1,110,0.028901398181915283
1,120,0.022975817322731018
1,130,0.015337134711444378
1,140,0.03394133225083351
1,150,0.036268945783376694
1,160,0.02363666705787182
1,170,0.020988674834370613
1,180,0.03636249154806137
1,190,0.021624358370900154
1,200,0.022487953305244446
1,210,0.015685517340898514
1,220,0.027267569676041603
1,230,0.02373168058693409
1,240,0.020922735333442688
1,250,0.03026929870247841
1,260,0.02216191217303276
1,270,0.019776633009314537
1,280,0.02792550064623356
1,290,0.017904365435242653
2,10,0.010489743202924728
2,20,0.0020953684579581022
2,30,0.006895462051033974
2,40,0.015280194580554962
2,50,0.005682159215211868
2,60,0.0075766462832689285
2,70,0.01765993796288967
2,80,0.002799081150442362
2,90,0.014052032493054867
2,100,0.01513530220836401
2,110,0.03289279341697693
2,120,0.005249436479061842
2,130,0.007378438021987677
2,140,0.03849491849541664
2,150,0.007559779100120068
2,160,0.0023898633662611246
2,170,0.012079459615051746
2,180,0.008801816962659359
2,190,0.05145403742790222
2,200,0.013356100767850876
2,210,0.02509164996445179
2,220,0.004911211784929037
2,230,0.004686086904257536
2,240,0.005963416304439306
2,250,0.0029761302284896374
2,260,0.003985185641795397
2,270,0.0032114065252244473
2,280,0.008242880925536156
2,290,0.010448970831930637
